walker H2O CH4 CO2 CO log_delta log_gamma Tint Tequ log_Ptrans alpha log_g R
   0 -1.9144611557 -3.95427066039 -3.50846228076 -1.34919729946 -4.80499320749 0.554268848957 307.291851917 1719.83150921 -4.70019027714 0.518343464826 3.91253614506 1.18444019422
   1 -1.9504866019 -3.92379508886 -3.45251976007 -1.41072803285 -4.75618748994 0.580324513775 311.177414644 1714.443191 -4.80178334257 0.492345915348 3.77138298559 1.16989458024
   2 -1.95232474682 -3.94439878034 -3.45151607763 -1.40504497305 -4.76053536611 0.628550851229 305.930161111 1719.32013643 -4.74561323286 0.57249200271 3.87049127357 1.16011075956
   3 -1.99344608416 -3.95226211361 -3.47162544546 -1.35296573293 -4.75033638045 0.619470122031 308.826699164 1712.03980244 -4.68237096338 0.461965322991 3.77391904599 1.22501329651
   4 -1.90627095201 -3.94692449314 -3.49921107581 -1.34821359841 -4.80584451784 0.586530655429 310.374792432 1720.76714542 -4.77973253215 0.467708480368 3.83844241172 1.20341973889
   5 -1.92999842039 -3.87332702152 -3.47134369758 -1.38019850007 -4.83472710233 0.610010240984 309.481523584 1719.98563345 -4.71660196748 0.649579981507 3.79339875931 1.10848708437
   6 -1.99233478907 -3.96121192579 -3.52266559707 -1.40882561083 -4.75711296673 0.569697590198 307.912264889 1710.56081945 -4.64665880848 0.617870280667 3.8866683711 1.16470618606
   7 -1.88353078715 -3.93463956144 -3.42218478556 -1.37670911751 -4.76712848704 0.587562928435 311.407562606 1720.66770769 -4.69906346846 0.392036810857 3.98145398636 1.13355413324
   8 -1.92345011258 -3.85802356515 -3.51234718824 -1.352396128 -4.84844244552 0.611982623134 314.561751393 1721.25382181 -4.82853480946 0.369463010035 3.81365227362 1.11567414723
   9 -1.97654646002 -3.95244182148 -3.44383372021 -1.33168310791 -4.80663649088 0.564068564733 310.846188909 1721.7670607 -4.84688970271 0.609529952061 3.93022299927 1.22424644166
  10 -1.90408853408 -3.94267338806 -3.47813426389 -1.40977031445 -4.77596591629 0.56108346991 305.200297936 1721.58021744 -4.78316389256 0.597754112147 3.96360531034 1.13745923891
  11 -1.98801191809 -3.94686873965 -3.4731310133 -1.38786558674 -4.76909192293 0.593139430684 309.606446668 1715.87121508 -4.81513455457 0.55213282514 3.94723671523 1.22718835669
  12 -1.98625016534 -3.89277828672 -3.44131051843 -1.39244822327 -4.82437923752 0.59789857553 305.518905611 1719.09682325 -4.81706569973 0.581426218811 3.93499837837 1.2116064677
  13 -1.95091588276 -3.92084003212 -3.45764010478 -1.33976200653 -4.80160791628 0.575889865689 314.748187429 1717.30286411 -4.76960807443 0.447895700535 3.77254859792 1.1691735307
  14 -1.9910397324 -3.90867318256 -3.53597249029 -1.34787296291 -4.84230975641 0.56949608663 312.813242023 1717.16174691 -4.85710219569 0.467900700308 3.95883360581 1.1986811461
  15 -1.91180960689 -3.9495140503 -3.44672230772 -1.35187858362 -4.8496205242 0.618896687144 312.515986691 1720.90310611 -4.7523405754 0.594629022739 3.85076692071 1.14727382695
  16 -1.97815494463 -3.81680855564 -3.49109778855 -1.38113937429 -4.75975023891 0.530321404734 313.535491483 1715.67132724 -4.6763176391 0.685716096532 3.7469278928 1.17262726486
  17 -1.94010701473 -3.86742199485 -3.53525441342 -1.32726634508 -4.86636048818 0.579878561072 312.084455044 1718.52097321 -4.77738508148 0.546813159598 3.93529833863 1.18066838993
  18 -1.96864792165 -3.88127731831 -3.50603240691 -1.39497093321 -4.80473287913 0.557477736445 306.530320876 1714.51210609 -4.78883580262 0.437544069134 3.90624381639 1.1879530679
  19 -1.93874806277 -3.88205364423 -3.50128497867 -1.3407810086 -4.80373068177 0.553510726827 308.685312165 1717.47465042 -4.73464425329 0.47481447582 3.86250598601 1.21031383063
  20 -1.90842700783 -3.88240574238 -3.53294766103 -1.40153042134 -4.80078614097 0.541273112714 313.053297975 1720.63531256 -4.71493363484 0.451416499873 3.84024414443 1.16572944882
  21 -1.93444660098 -3.87566219078 -3.51327322966 -1.35632300415 -4.84865502631 0.542000380741 305.992305728 1721.77930802 -4.72035680446 0.567874649728 3.83062974722 1.20174389028
  22 -1.92953914225 -3.91918347852 -3.50013473342 -1.34860531642 -4.76406207212 0.587658707413 314.629316684 1720.26786809 -4.68152840042 0.506469485534 3.82691958111 1.13390016399
  23 -1.96607132219 -3.89112452322 -3.53130878663 -1.34345952243 -4.81507750435 0.620683629716 309.870558373 1720.06328981 -4.84039178472 0.529710332866 3.927351661 1.19024907014
  24 -1.98375200637 -3.91567240995 -3.46248032312 -1.3456398912 -4.80936843232 0.553856441568 314.458492534 1714.95345387 -4.73755526385 0.569873836551 3.79629824884 1.1999479755
  25 -1.92144952975 -3.87951724439 -3.53625551187 -1.37955538846 -4.76823201797 0.62640351598 308.456434156 1721.92116935 -4.79944262215 0.565914760623 3.96955815418 1.14795346009
  26 -1.91472800186 -3.90414034471 -3.50521774524 -1.37905813343 -4.79053267762 0.572294527965 311.001034687 1713.1185968 -4.71316331689 0.485785602267 3.90312006284 1.17464573708
  27 -1.98382376183 -3.91498458389 -3.5137503669 -1.41816658748 -4.79865598587 0.602942768121 309.420959315 1719.43212317 -4.77509494319 0.523400801905 3.81373373099 1.15826435912
  28 -1.9193685371 -3.93056498162 -3.49899229069 -1.40033518424 -4.81824658918 0.565932895998 311.830418993 1717.61875212 -4.72327178731 0.580831720136 3.94753098333 1.19070428556
